ID,Airport,City,Country
10261,Yilan Station,Yilan,Taiwan
10262,Ruifang Station,Ruifang,Taiwan
10263,Taoyuan Station,Taoyuan,Taiwan
10264,Zhongli Station,Taoyuan,Taiwan
10265,Zhunan Station,Zhunan,Taiwan
10266,Miaoli Station,Miaoli,Taiwan
10267,Fengyuan Station,Fengyuan,Taiwan
10268,Changhua Station,Changhua,Taiwan
10269,Yuanlin Station,Yuanlin,Taiwan
10270,Douliu Station,Douliu,Taiwan
10271,Dounan Station,Dounan,Taiwan
10272,Jingtong Station,Jingtong,Taiwan
10273,Jiufen Bus Station,Jiufen,Taiwan
10274,Tamsui Station,Taipei,Taiwan
10275,Luodong Station,Luodong,Taiwan
10276,Su'ao Station,Su'ao,Taiwan
10277,Yingge Station,Yingge,Taiwan
10278,Banqiao Station,Banqiao,Taiwan
10279,Shatin Station,Hong Kong,Hong Kong
10280,Aberdeen Station,Hong Kong,Hong Kong
10281,Star Ferry Pier-Central,Hong Kong,Hong Kong
10282,Tsim Sha Tsui Ferry Pier,Hong Kong,Hong Kong
10283,Kowloon Station-MTR,Hong Kong,Hong Kong
10284,Tsing Yi Station,Hong Kong,Hong Kong
10285,Olympic Station,Hong Kong,Hong Kong
10286,Tung Chung Station,Hong Kong,Hong Kong
10287,Futian Railway Station,Shenzhen,China
10288,Marlboro Gautrain Station,Johannesburg,South Africa
10289,Barajas Station,Madrid,Spain
10290,Sant Cugat Station,Sant Cugat del Valles,Spain
10291,Gare de Reims,Reims,France
10292,Saint Paul Union Depot,Saint Paul,United States
10293,Daly City BART Station,Daly City,United States
10294,Yongphulla Airport,Yongphulla,Bhutan
10295,Kymi Airport,Kotka,Finland
10296,Elizabeth Field,Southold,United States
10297,Richmond Valley Staten Island Railway Station,New York,United States
10298,Grasmere Staten Island Railway Station,New York,United States
10299,Bay Ridge 95th Street Station,New York,United States
10300,Parkchester Station,New York,United States
10301,George Washington Bridge Bus Station,New York,United States
10302,Providence Station,Providence,United States
10303,Attleboro MBTA Station,Attleboro,United States
10304,North Falmouth Railroad Station,North Falmouth,United States
10305,Woods Hole Railroad Station,Woods Hole,United States
10306,Buzzards Bay Train Station,Buzzards Bay,United States
10307,Old Saybrook Amtrak Station,Old Saybrook,United States
10308,Schenectady Amtrak Station,Schenectady,United States
10309,Danyang Railway Station,Danyang,China
10310,Tikkurila Railway Station,Helsinki,Finland
10311,Gare de Champagne-Ardenne TGV,Reims,France
10312,Sundsvall Railway Station,Sundsvall,Sweden
10313,Haparanda Railway Station,Haparanda,Sweden
10314,Tornio Railway Station,Tornio,Finland
10315,Kemi Railway Station,Kemi,Finland
10316,Oulu Railway Station,Oulu,Finland
10317,Vartahamnen,Stockholm,Sweden
10318,Olympia Terminal,Helsinki,Finland
10319,Suomenlinna,Helsinki,Finland
10320,Market Square,Helsinki,Finland
10321,Hangzhou East Railway Station,Hangzhou,China
10322,Gare du Creusot TGV,Le Creusot,France
10323,Gare de Macon Loche TGV,Macon,France
10324,Gare du Nord,Mulhouse,France
10325,Egerkingen Bahnhof,Egerkingen,Switzerland
10326,Pratteln Bahnhof,Pratteln,Switzerland
10327,Aarburg-Oftringen Bahnhof,Aarburg-Oftringen,Switzerland
10328,Amersfoort Railway Station,Amersfoort,Netherlands
10329,Apeldoorn Railway Station,Apeldoorn,Netherlands
10330,Deventer Railway Station,Deventer,Netherlands
10331,Almelo Railway Station,Almelo,Netherlands
10332,Hengelo Railway Station,Hengelo,Netherlands
10333,Rheine Railway Station,Rheine,Germany
10334,Hilversum Railway Station,Hilversum,Netherlands
10335,Amsterdam Sloterdijk,Amsterdam,Netherlands
10336,Leiden Centraal,Leiden,Netherlands
10337,Den Haag HS,Den Haag,Netherlands
10338,Schiedam Centrum,Schiedam,Netherlands
