AirlineID,Name,Country,Active
1805,Clark Aviation,UnitedStates,N
1806,Clasair,UnitedKingdom,N
1807,Clay Lacy Aviation,UnitedStates,N
1808,Click Airways,Kyrgyzstan,Y
1809,Cloud 9 Air Charters,SouthAfrica,N
1810,Clowes Estates Limited,UnitedKingdom,N
1811,Club 328,UnitedKingdom,N
1812,Club Air,Italy,N
1813,Coast Air,Norway,N
1814,Coastal Air,UnitedStates,Y
1815,Coastal Air Transport,UnitedStates,N
1816,Coastal Airways,UnitedStates,N
1817,Coastal Travels,Tanzania,N
1818,Cohlmia Aviation,UnitedStates,N
1819,Colaereos,Ecuador,N
1820,Colemill Enterprises,UnitedStates,N
1821,Colgan Air,UnitedStates,Y
1822,Colibri Aviation,Canada,N
1823,Colt International,UnitedStates,N
1824,Columbia Airlines,Canada,N
1825,Columbia Helicopters,UnitedStates,N
1826,Columbus Air Transport,UnitedStates,N
1827,Colvin Aviation,UnitedStates,N
1828,Comair,UnitedStates,Y
1829,Comair,SouthAfrica,Y
1830,Comed Group,UnitedKingdom,N
1831,Comeravia,Venezuela,N
1832,Comercial Aerea,Mexico,N
1833,Comet Airlines,Nigeria,N
1834,Comfort Air,Germany,N
1835,Comlux Aviation,Switzerland,N
1836,Commair Aviation,UnitedKingdom,N
1837,Commandement Du Transport Aerien Militaire Francais,France,N
1838,Commander Air Charter,Canada,N
1839,Commander Mexicana,Mexico,N
1840,Commercial Aviation,Canada,N
1841,Commodore Aviation,Australia,N
1842,Commonwealth Jet Service,UnitedStates,N
1843,CommutAir,UnitedStates,Y
1844,Comores Airlines,Comoros,Y
1845,Compagnia Generale Ripreseaeree,Italy,N
1846,Compagnie Aerienne du Mali,Mali,N
1847,Compagnie Mauritanienne Des Transports,Mauritania,N
1848,Compagnie de Bauxites de Guinee,Guinea,N
1849,Compania Aerea de Valencia,Spain,N
1850,Compania Aerotecnicas Fotograficas,Spain,N
1851,Compania Boliviana de Transporte Aereo Privado Aerosur,ASUR,N
1852,Compania De Actividades Y Servicios De Aviacion,Spain,N
1853,Compania Ejecutiva,Mexico,N
1854,Compania Helicopteros Del Sureste,Spain,N
1855,Compania Mexicana De Aeroplanos,Mexico,N
1856,Compania Mexicargo,Mexico,N
1857,Compania Transportes Aereos Del Sur,Spain,N
1858,Compania de Servicios Aereos Tavisa,Spain,N
1859,Company Flight,Denmark,N
1860,Compass Airlines,UnitedStates,Y
1861,Compass International Airways,UnitedKingdom,N
1862,Compuflight Operations Service,UnitedStates,N
1863,Compuserve Incorporated,UnitedStates,N
1864,Conair Aviation,Canada,N
1865,Concordavia,Ukraine,N
1866,Condor Aero Services,UnitedStates,N
1867,Condor,Germany,N
1868,Condor Flugdienst,Germany,Y
1869,Confort Air,Canada,N
1870,Congo Air,Bahamas,N
1871,Congressional Air,UnitedStates,N
1872,Conifair Aviation,Canada,N
1873,Connectair Charters,Canada,N
1874,Conquest Airlines,UnitedStates,N
1875,Conroe Aviation Services,UnitedStates,N
1876,Consorcio Aviaxsa,Mexico,Y
1877,Consorcio Helitec,Venezuela,N
1878,Constanta Airline,Ukraine,N
1879,Contact Air,Germany,Y
1880,Contel ASC,UnitedStates,N
1881,Continental Airlines,UnitedStates,Y
1882,Continental Airways,Russia,N
1883,Continental Express,UnitedStates,Y
1884,Continental Micronesia,UnitedStates,Y
1885,Continental Oil,UnitedStates,N
1886,Conviasa,Venezuela,Y
1887,Cook Inlet Aviation,UnitedStates,N
1888,Cooper Aerial Surveys,UnitedKingdom,N
1889,Copa Airlines,Panama,Y
1890,Copenhagen Airtaxi,Denmark,N
1891,Copper State Air Service,UnitedStates,N
1892,Copterline,Finland,Y
1893,Coptrade Air Transport,Sudan,N
1894,Corendon Airlines,Turkey,Y
1895,Coronado Aerolineas,Colombia,N
1896,Corpac Canada,Canada,N
1897,Corporacion Aereo Cencor,Mexico,N
1898,Corporacion Aeroangeles,Mexico,N
1899,Corporacion Paraguaya De Aeronautica,Paraguay,N
1900,Corporate Air,UnitedStates,N
1901,Corporate Air,UnitedStates,N
1902,Corporate Aircraft Company,UnitedStates,N
1903,Corporate Airlink,Canada,N
1904,Corporate Aviation Services,UnitedStates,N
1905,Corporate Flight International,UnitedStates,N
1906,Corporate Flight Management,UnitedStates,N
1907,Corporate Jets,UnitedStates,N
1908,Corsairfly,France,Y
1909,Corse-Mediterranee,France,Y
1910,Cosmic Air,Nepal,N
1911,Cougar Helicopters,Canada,N
1912,Coulson Flying Service,UnitedKingdom,N
1913,Country Connection Airlines,Australia,N
1914,Country International Airlines,Kyrgyzstan,N
1915,Courier Services,UnitedStates,N
1916,Court Helicopters,SouthAfrica,N
1917,Coval Air,Canada,N
1918,Cowi,Netherlands,N
1919,Coyne Aviation,UnitedKingdom,N
1920,Cranfield University,UnitedKingdom,N
